,datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,turbulence
54,20200617,LTC,44.07,43.9,45.04,43.0,324893.8614200005,-0.08658352598693853,32.316267254519985,-34.49999999999934,67.07083560018282,0.0
55,20200617,VET,0.009013,0.009062,0.009247,0.008612,2415094701.0,-1.1791128437783557e-05,49.65488436744215,-29.537384346086608,16.357586596269705,0.0
56,20200618,ADA,0.08176,0.0835,0.08454,0.08001,316838158.30000055,0.00024706280917780044,48.01153093623239,98.76172607879911,42.018754046076445,0.0
57,20200618,BNB,16.1608,16.3983,16.5423,15.8783,1382820.8699999996,-0.047911035705915594,25.10635127607044,-92.86822486399429,94.23572690359458,0.0
58,20200618,BTC,9386.32,9465.13,9489.0,9280.0,37381.95376500002,-9.479777065642338,30.941612071394943,-48.18893379204711,82.41625009642681,0.0
59,20200618,ETH,231.27,233.82,234.65,227.93,334347.79916999995,-0.5474490023623275,30.19813448346325,-68.11091854419378,74.5722605354683,0.0
60,20200618,LINK,4.1415,4.1663,4.2491,4.0957,3348384.0800000024,-0.0010701327570421526,38.99395127723281,53.29424289021406,42.001977149070804,0.0
61,20200618,LTC,43.43,44.07,44.23,42.88,193534.98937999998,-0.11447339461499695,29.069257512917417,-80.65015479876182,67.79322358486093,0.0
62,20200618,VET,0.00866,0.009013,0.009046,0.008365000000000001,1690292130.0,-3.087555734351821e-05,43.11413865859749,-80.99385689152923,24.071471451175853,0.0
63,20200619,ADA,0.07987000000000001,0.08177000000000001,0.0819,0.07844,273185135.4999998,0.0002047138413203281,43.936698728101014,28.385361364762915,47.68852053752437,0.0
64,20200619,BNB,15.9512,16.1665,16.3106,15.8966,1324135.5999999978,-0.06782322696068377,22.770129926133492,-109.88446401680565,94.23572690359462,0.0
65,20200619,BTC,9310.23,9386.32,9438.3,9215.79,45330.98367300002,-15.480440832998283,28.793778771157022,-84.28594429238494,83.618000598581,0.0
66,20200619,ETH,229.0,231.26,231.95,226.74,397284.59808,-0.7358320233562665,28.264539222081012,-94.5168130869427,75.7399189939471,0.0
67,20200619,LINK,4.098,4.1417,4.1839,4.0521,2424386.6999999974,-0.00012272037375637979,37.1455516348601,17.994959739381283,45.08948586645664,0.0
68,20200619,LTC,42.89,43.43,43.73,42.57,304810.97536,-0.160407306966718,26.725437458390203,-110.92058368636958,69.63288332952699,0.0
69,20200619,VET,0.008379000000000001,0.008659,0.008733,0.008311,1530248835.0,-5.843846054030995e-05,38.895086424215485,-111.84975779259936,25.673429697302375,0.0
70,20200620,ADA,0.07952999999999999,0.07993,0.08023,0.077,152661332.79999986,0.0001531271673199247,43.25353290536094,-12.153538432232393,52.26509206323438,0.0
71,20200620,BNB,16.059,15.9611,16.0898,15.7,1427210.2200000002,-0.0755178206881304,26.413308060269216,-114.72637569095143,94.82777302612921,0.0
72,20200620,BTC,9358.95,9310.23,9395.0,9170.95,30329.065384000023,-17.003929384414732,31.923859321770166,-85.28339144615364,84.41321805306693,0.0
73,20200620,ETH,228.89,229.0,230.85,225.62,303704.9882599999,-0.8675014568797792,28.174106481034528,-97.59356095560311,76.81124174291365,0.0
74,20200620,LINK,4.1765,4.0978,4.2072,4.0654,2414698.619999999,0.004745748263779603,42.255461099163355,43.5452368487995,40.80741685039993,0.0
